timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
448041184,0.14201517,0.31302223,0.4628213
448064145,0.14069153,0.31302223,0.46040985
448087847,0.14069153,0.3233308,0.4628213
448112566,0.14333883,0.31302223,0.4700557
448135859,0.13936786,0.32447618,0.47608435
448159766,0.13142595,0.3198946,0.47970155
448183830,0.1327496,0.32791236,0.46764424
448207783,0.1353969,0.3198946,0.4628213
448232355,0.14201517,0.32562158,0.45679265
448256451,0.13936786,0.32447618,0.47246715
448279788,0.14466248,0.32905775,0.46764424
448303729,0.14201517,0.3187492,0.47126144
448327762,0.14863344,0.32905775,0.46402705
448352334,0.12745498,0.3198946,0.4700557
448375839,0.12877864,0.32447618,0.4652328
448399768,0.13010229,0.32905775,0.46040985
448423746,0.13010229,0.32676697,0.46402705
448447839,0.14333883,0.32791236,0.46884996
448473396,0.14069153,0.3221854,0.47246715
448496563,0.14201517,0.32676697,0.46884996
448520481,0.13936786,0.32562158,0.46040985
448544111,0.12083671,0.3164584,0.4784958
448568469,0.12745498,0.32791236,0.46764424
448592651,0.12877864,0.32905775,0.46884996
448615809,0.11686575,0.3176038,0.47608435
448640739,0.12480767,0.32447618,0.46764424
448663809,0.1327496,0.3164584,0.47608435
448687776,0.12877864,0.3198946,0.4748786
448712459,0.1327496,0.32447618,0.47246715
448735872,0.1327496,0.3221854,0.4700557
448759873,0.11421844,0.3221854,0.47246715
448783728,0.12877864,0.33593014,0.4736729
448808488,0.12216037,0.33020315,0.4784958
448833443,0.12083671,0.32791236,0.48090726
448860441,0.12480767,0.3198946,0.47126144
448884442,0.12480767,0.3176038,0.47608435
448907571,0.12216037,0.32447618,0.46040985
448931855,0.12613133,0.3221854,0.46764424
448955535,0.11289479,0.33020315,0.4664385
448976949,0.12745498,0.33707553,0.4736729
449000478,0.104952864,0.3233308,0.4736729
449023710,0.11157114,0.3233308,0.4784958
449047715,0.11686575,0.32791236,0.46402705
449072178,0.1181894,0.32791236,0.4616156
449095838,0.119513065,0.3198946,0.4784958
449119755,0.12877864,0.3233308,0.4748786
449144418,0.11686575,0.31416762,0.4736729
449168291,0.104952864,0.31416762,0.47608435
449192611,0.1181894,0.32676697,0.4736729
449215772,0.11686575,0.32791236,0.4748786
449240439,0.12083671,0.32562158,0.4772901
449263712,0.1155421,0.31073144,0.47970155
449287776,0.1181894,0.3187492,0.47246715
449312448,0.13804421,0.3233308,0.47608435
449335863,0.1155421,0.30958605,0.4748786
449359787,0.12480767,0.3176038,0.47126144
449383995,0.13010229,0.31302223,0.4736729
449407993,0.119513065,0.31302223,0.4736729
449433562,0.123484015,0.315313,0.4893474
449459199,0.12745498,0.3198946,0.4784958
449479855,0.1327496,0.3198946,0.47126144
449503755,0.14069153,0.30958605,0.4628213
449527777,0.13804421,0.3164584,0.46402705
449552221,0.14201517,0.3164584,0.4628213
449576007,0.14333883,0.30844063,0.47246715
449599989,0.14201517,0.3198946,0.4748786
449623638,0.14201517,0.31416762,0.4664385
449647992,0.14333883,0.315313,0.4845245
449672578,0.14069153,0.31187683,0.4784958
449696000,0.13936786,0.30844063,0.46884996
